id_cycle,Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct,ambient_temperature,time
40,(811.1766573588053-24.673830449581146j),(315.9051636060079-0.3449140687783559j),(2.493579343351275-0.24834383093298842j),(-0.4389262483032638-0.107298295835479j),(0.07006937798290404-0.0004799846907817894j),0.04466870036616091,0.06945627304536996,24.0,2008.0
42,(809.8236757914225-24.104763130346935j),(316.5043517748515-1.139011949300766j),(2.5036518662875618-0.24976334305553805j),(-0.5345201900083068+0.05632237666187587j),(0.06035665867081227-0.00023231690566646155j),0.04668700162486933,0.07627474098530587,24.0,2008.0
44,(810.4959462483724-25.16543318827947j),(316.6170099576314-0.048231273889541626j),(2.489316396333665-0.25499320920038165j),(-0.44283635473246313-0.1049595987702006j),(0.06622478556922413-0.0007051393360864999j),0.04484343057334609,0.0679720560130687,24.0,2008.0
46,(809.4750620524088-24.098861157894135j),(317.22553221384686-1.425300230582555j),(2.4915534709892753-0.2472475300232384j),(-0.5237919003975053+0.00812618630374182j),(0.06126717696192984-2.894255662846844e-05j),0.04619468955099374,0.07453388918437964,24.0,2008.0
48,(810.9232317606608-25.337552309036255j),(315.97795486450195+0.0745792289574941j),(2.495458863225012-0.25488446081995875j),(-0.44166468242907403-0.10259557653945582j),(0.07050955033564447-0.0001257801486944384j),0.04510114851143001,0.06852832896000328,24.0,2008.0
50,(808.6212679545084-23.905257483323414j),(318.1890616416931-1.3367478748162587j),(2.4833433035081884-0.24701128210737403j),(-0.5338763346673802+0.053035950734477484j),(0.06125664337061545-0.0004043456420258215j),0.04599074473076839,0.07342664108773311,24.0,2008.0
52,(810.8764406840006-25.24561768770218j),(316.17067845662433-0.17318816979726157j),(2.497415183285398-0.2584421232699963j),(-0.4446971131122189-0.1036128531452201j),(0.06796097463274457-0.0003574518311015888j),0.04417207557717175,0.06804449516996176,24.0,2008.0
54,(809.217835744222-24.092576384544373j),(317.48161284128827-0.979044775168101j),(2.4915100854984384-0.2510066969130143j),(-0.5309039707743043+0.03602806274847476j),(0.059869767442739356-0.0009779422450807138j),0.0452171085992494,0.07464778408413367,24.0,2008.0
56,(810.9071667989095-25.18315315246582j),(316.4160369237264-0.038099547227223717j),(2.4912215169396084-0.2616421420523179j),(-0.4447264516801405-0.104923288386939j),(0.06791685111499496-0.0006303973970478009j),0.04378662819607591,0.06845021227072765,24.0,2008.0
58,(808.8283907572428-23.802351971467335j),(318.16156816482544-1.114010324080785j),(2.4872364650606023-0.24988073308205436j),(-0.532872136514353+0.045660081815027724j),(0.060798801168978754-0.0008648976992412456j),0.04490994541365791,0.07395687603254197,24.0,2008.0
60,(810.9914932250977-24.889174461364746j),(315.9912010828654-0.4024221996466319j),(2.498734910850562-0.25337558077232014j),(-0.4431398617509911-0.10607212356385619j),(0.0712617479303755-0.0013986384185311633j),0.04463932198878524,0.0683410113732366,24.0,2008.0
62,(809.1454264322916-24.00735229253769j),(317.5003383954366-1.3633185426394145j),(2.4896364624934217-0.2492820843842621j),(-0.5313529259538913+0.0388660765798994j),(0.05985384613774341+8.918079057923624e-05j),0.04717044086931744,0.07208112164479205,24.0,2008.0
64,(811.180362701416-25.336907128492992j),(316.42783975601196+0.07586691776911418j),(2.487533200100709-0.2581093112743637j),(-0.4422270753035897-0.1038279635378158j),(0.06884541871301754-0.0005528809547225673j),0.043558785775475374,0.06868237655872211,24.0,2008.0
66,(808.281483968099-24.858832995096844j),(318.46003913879395-0.6813161869843801j),(2.4774652103884196-0.2594726545525761j),(-0.5310957750298807+0.036351574107317236j),(0.06065749341073129-0.0005863547576107181j),0.04648969708635644,0.07102909339339247,24.0,2008.0
